,Start,Stop,Pearson,hourly-position,hourly-velocity,expected-arrival
53,2017-03-28 00:26:00,2017-03-28 01:25:00,0.34385499567422345,306244.41806779656,-660.0711864406779,7
54,2017-03-28 00:27:00,2017-03-28 01:26:00,0.3655258408376521,306135.82196610176,-660.1288135593221,7
55,2017-03-28 00:28:00,2017-03-28 01:27:00,0.3848773909960562,306030.39230508474,-660.233898305085,7
56,2017-03-28 00:29:00,2017-03-28 01:28:00,0.40423624396471575,305921.64305084746,-660.277966101695,7
57,2017-03-28 00:30:00,2017-03-28 01:29:00,0.42694444510791923,305808.4938305085,-660.3220338983053,7
58,2017-03-28 00:31:00,2017-03-28 01:30:00,0.4390851406006976,305714.7266101695,-660.228813559322,7
59,2017-03-28 00:32:00,2017-03-28 01:31:00,0.45716998052083374,305583.0463559322,-660.1271186440678,7
60,2017-03-28 00:33:00,2017-03-28 01:32:00,0.4676250755951082,305468.5849152542,-660.1711864406778,7
61,2017-03-28 00:34:00,2017-03-28 01:33:00,0.4813692120196039,305394.0444067797,-660.2186440677966,7
62,2017-03-28 00:35:00,2017-03-28 01:34:00,0.5070443730483933,305362.6677288136,-660.3338983050847,7
63,2017-03-28 00:36:00,2017-03-28 01:35:00,0.4941434223565222,305317.160101695,-660.8254237288135,7
64,2017-03-28 00:37:00,2017-03-28 01:36:00,0.4657433410576709,305297.5203559322,-661.2,7
65,2017-03-28 00:38:00,2017-03-28 01:37:00,0.452344904568153,305203.2112033898,-661.6610169491524,7
66,2017-03-28 00:39:00,2017-03-28 01:38:00,0.4881380188986881,305105.5803559322,-661.6152542372879,7
67,2017-03-28 00:40:00,2017-03-28 01:39:00,0.5206692289527357,305014.3571355932,-661.9271186440676,7
68,2017-03-28 00:41:00,2017-03-28 01:40:00,0.5551325706094209,304915.48781355936,-662.171186440678,7
69,2017-03-28 00:42:00,2017-03-28 01:41:00,0.6081854295441457,304806.8095762711,-662.1627118644069,7
70,2017-03-28 00:43:00,2017-03-28 01:42:00,0.645192983757899,304692.64701694914,-662.2644067796612,7
71,2017-03-28 00:44:00,2017-03-28 01:43:00,0.6700208992066554,304585.972779661,-662.4762711864407,7
72,2017-03-28 00:45:00,2017-03-28 01:44:00,0.6529125273261543,304466.2453220339,-662.3745762711866,7
73,2017-03-28 00:46:00,2017-03-28 01:45:00,0.6403687125171741,304341.0337966102,-662.2033898305086,7
74,2017-03-28 00:47:00,2017-03-28 01:46:00,0.627309215512513,304214.66023728816,-662.0322033898307,7
75,2017-03-28 00:48:00,2017-03-28 01:47:00,0.5452479337700906,304104.4209152543,-661.5474576271188,7
76,2017-03-28 00:49:00,2017-03-28 01:48:00,0.46428934901245356,304013.5595593221,-661.2389830508475,7
77,2017-03-28 00:50:00,2017-03-28 01:49:00,0.42102424532267096,303922.6164915254,-661.1728813559323,7
78,2017-03-28 00:51:00,2017-03-28 01:50:00,0.43488871596609774,303820.7819152542,-661.2016949152543,7
79,2017-03-28 00:52:00,2017-03-28 01:51:00,0.45627578863357776,303715.6237796609,-661.1000000000003,7
80,2017-03-28 00:53:00,2017-03-28 01:52:00,0.44458883205933836,303588.76201694907,-661.1762711864408,7
81,2017-03-28 00:54:00,2017-03-28 01:53:00,0.43314280158330865,303510.46676271176,-661.1033898305086,7
82,2017-03-28 00:55:00,2017-03-28 01:54:00,0.4248079472935349,303410.4676101695,-660.9813559322034,7
83,2017-03-28 00:56:00,2017-03-28 01:55:00,0.425059082063805,303329.844559322,-660.7949152542371,7
84,2017-03-28 00:57:00,2017-03-28 01:56:00,0.4490654436426013,303224.2743898306,-660.5101694915253,7
85,2017-03-28 00:58:00,2017-03-28 01:57:00,0.4654560783999126,303106.7299830509,-660.3745762711862,7
86,2017-03-28 00:59:00,2017-03-28 01:58:00,0.486514263426835,303006.3991355932,-660.1677966101695,7
87,2017-03-28 01:00:00,2017-03-28 01:59:00,0.5125022112667704,302911.3894745762,-659.9610169491525,7
88,2017-03-28 01:01:00,2017-03-28 02:00:00,0.5247743930630917,302794.6754067797,-659.8694915254235,7
89,2017-03-28 01:02:00,2017-03-28 02:01:00,0.5570618769766159,302665.9850677966,-659.6593220338982,7
90,2017-03-28 01:03:00,2017-03-28 02:02:00,0.5878765903354023,302545.85920338985,-659.4949152542372,7
91,2017-03-28 01:04:00,2017-03-28 02:03:00,0.6200842939000425,302449.4315762711,-659.3186440677966,7
92,2017-03-28 01:05:00,2017-03-28 02:04:00,0.6225809897704743,302351.83750847453,-659.284745762712,7
93,2017-03-28 01:06:00,2017-03-28 02:05:00,0.6386205969257523,302300.64344067796,-659.1135593220339,7
94,2017-03-28 01:07:00,2017-03-28 02:06:00,0.6698998588605769,302245.0393728814,-658.7796610169491,7
95,2017-03-28 01:08:00,2017-03-28 02:07:00,0.6695522206211014,302214.2132033899,-658.7525423728814,7
96,2017-03-28 01:09:00,2017-03-28 02:08:00,0.668417476961693,302200.59811864403,-658.7559322033899,7
97,2017-03-28 01:10:00,2017-03-28 02:09:00,0.6237321348642634,302207.4348983051,-659.2220338983051,7
98,2017-03-28 01:11:00,2017-03-28 02:10:00,0.5892915860325345,302270.40099999995,-659.5169491525422,7
99,2017-03-28 01:12:00,2017-03-28 02:11:00,0.5656580719599191,302292.1996440678,-660.171186440678,7
100,2017-03-28 01:13:00,2017-03-28 02:12:00,0.5506095258474692,302356.0705932204,-660.7881355932202,7
101,2017-03-28 01:14:00,2017-03-28 02:13:00,0.5212999486076578,302401.4780508475,-661.2677966101695,7
102,2017-03-28 01:15:00,2017-03-28 02:14:00,0.49303621082271964,302469.4988135593,-661.7474576271186,7
103,2017-03-28 01:16:00,2017-03-28 02:15:00,0.46588995070022626,302573.1061864407,-662.2271186440679,7
104,2017-03-28 01:17:00,2017-03-28 02:16:00,0.4475919989985904,302678.7870338983,-662.9322033898306,7
105,2017-03-28 01:18:00,2017-03-28 02:17:00,0.45494447644556146,302777.8937457627,-663.3593220338985,7
106,2017-03-28 01:19:00,2017-03-28 02:18:00,0.4652031245965791,302875.82967796613,-663.7864406779662,7
107,2017-03-28 01:20:00,2017-03-28 02:19:00,0.47453780200513507,302958.5410338983,-664.271186440678,7
108,2017-03-28 01:21:00,2017-03-28 02:20:00,0.46037888929066656,303041.1621186441,-664.3457627118646,7
109,2017-03-28 01:22:00,2017-03-28 02:21:00,0.44272192131488697,303096.66754237283,-664.513559322034,7
110,2017-03-28 01:23:00,2017-03-28 02:22:00,0.42437070585193687,303167.21686440683,-664.7457627118644,7
111,2017-03-28 01:24:00,2017-03-28 02:23:00,0.411586319640829,303267.94577966107,-665.2711864406779,7
112,2017-03-28 01:25:00,2017-03-28 02:24:00,0.41356906147969136,303333.99052542384,-665.3711864406779,7
113,2017-03-28 01:26:00,2017-03-28 02:25:00,0.3989866989250055,303394.53832203394,-665.2440677966101,7
114,2017-03-28 01:27:00,2017-03-28 02:26:00,0.38166590473807466,303452.8337457628,-665.1220338983051,7
115,2017-03-28 01:28:00,2017-03-28 02:27:00,0.369561009442646,303496.98383050854,-664.9898305084746,7
116,2017-03-28 01:29:00,2017-03-28 02:28:00,0.3516417990961876,303534.55400000006,-664.8101694915254,7
117,2017-03-28 01:30:00,2017-03-28 02:29:00,0.3877018787119506,303559.0589152542,-665.0220338983049,7
118,2017-03-28 01:31:00,2017-03-28 02:30:00,0.39209219203881907,303599.68713559327,-664.9999999999999,7
119,2017-03-28 01:32:00,2017-03-28 02:31:00,0.3924277104894758,303609.9538305085,-664.9677966101694,7
120,2017-03-28 01:33:00,2017-03-28 02:32:00,0.39700861286982253,303620.1260338984,-664.9322033898306,7
121,2017-03-28 01:34:00,2017-03-28 02:33:00,0.3891410871953163,303589.1251864407,-664.8288135593222,7
122,2017-03-28 01:35:00,2017-03-28 02:34:00,0.38639448988608405,303572.08281355933,-664.7576271186441,7
123,2017-03-28 01:36:00,2017-03-28 02:35:00,0.3835924132401709,303557.1081525424,-664.6254237288138,7
124,2017-03-28 01:37:00,2017-03-28 02:36:00,0.40846303651075283,303546.36255932203,-664.7288135593221,7
125,2017-03-28 01:38:00,2017-03-28 02:37:00,0.4230119767165995,303564.71001694916,-664.8016949152543,7
126,2017-03-28 01:39:00,2017-03-28 02:38:00,0.3921227074851421,303603.5011355932,-664.5966101694916,7
127,2017-03-28 01:40:00,2017-03-28 02:39:00,0.37670063066759246,303657.3307288135,-664.4254237288137,7
128,2017-03-28 01:41:00,2017-03-28 02:40:00,0.4033988913964357,303718.63133898296,-664.2237288135594,7
129,2017-03-28 01:42:00,2017-03-28 02:41:00,0.4366089090678186,303773.34905084735,-664.0220338983052,7
130,2017-03-28 01:43:00,2017-03-28 02:42:00,0.4772788369679482,303822.5643050847,-663.8203389830509,7
131,2017-03-28 01:44:00,2017-03-28 02:43:00,0.4863885312113,303880.33040677954,-663.9322033898306,7
132,2017-03-28 01:45:00,2017-03-28 02:44:00,0.49703329846751665,303942.3226101694,-664.0440677966102,7
133,2017-03-28 01:46:00,2017-03-28 02:45:00,0.5104650307207113,304002.0536271186,-664.1559322033899,7
134,2017-03-28 01:47:00,2017-03-28 02:46:00,0.49457152349865685,304057.36244067794,-664.5745762711865,7
135,2017-03-28 01:48:00,2017-03-28 02:47:00,0.4742978763676685,304099.5994745763,-664.9881355932204,7
136,2017-03-28 01:49:00,2017-03-28 02:48:00,0.45285673005964344,304153.6287118644,-665.3491525423727,7
137,2017-03-28 01:50:00,2017-03-28 02:49:00,0.4706083511253431,304217.2883728813,-665.4152542372881,7
138,2017-03-28 01:51:00,2017-03-28 02:50:00,0.4764994547200375,304297.06311864406,-665.5322033898304,7
139,2017-03-28 01:52:00,2017-03-28 02:51:00,0.4615921396063707,304394.03430508473,-665.7932203389829,7
140,2017-03-28 01:53:00,2017-03-28 02:52:00,0.4417915768776721,304442.2557288136,-666.2440677966099,7
141,2017-03-28 01:54:00,2017-03-28 02:53:00,0.42099007058298504,304492.5379322033,-666.7440677966101,7
142,2017-03-28 01:55:00,2017-03-28 02:54:00,0.41624516792043953,304550.2858983051,-667.2440677966101,7
143,2017-03-28 01:56:00,2017-03-28 02:55:00,0.4422530448986932,304625.2286101695,-668.0966101694914,7
144,2017-03-28 01:57:00,2017-03-28 02:56:00,0.47604641851415824,304690.3384406779,-668.8542372881357,7
145,2017-03-28 01:58:00,2017-03-28 02:57:00,0.5091059993272249,304771.5618305084,-669.6830508474577,7
146,2017-03-28 01:59:00,2017-03-28 02:58:00,0.5317466035264942,304850.5201355932,-670.3983050847459,7
147,2017-03-28 02:00:00,2017-03-28 02:59:00,0.544579927629846,304942.34674576274,-671.4406779661017,7
148,2017-03-28 02:01:00,2017-03-28 03:00:00,0.556097535441683,305018.9348135593,-672.4898305084746,7
149,2017-03-28 02:02:00,2017-03-28 03:01:00,0.5672012175252483,305052.17600000004,-673.493220338983,7
150,2017-03-28 02:03:00,2017-03-28 03:02:00,0.577409162711622,305068.01515254227,-674.4474576271184,7
151,2017-03-28 02:04:00,2017-03-28 03:03:00,0.5811818607331088,305106.45057627116,-675.3135593220339,7
152,2017-03-28 02:05:00,2017-03-28 03:04:00,0.5383106163933363,305111.2678644067,-675.5322033898304,7
153,2017-03-28 02:06:00,2017-03-28 03:05:00,0.5166751307228891,305114.8964406779,-675.7881355932203,7
154,2017-03-28 02:07:00,2017-03-28 03:06:00,0.5343672551625323,305084.9059322033,-676.128813559322,7
155,2017-03-28 02:08:00,2017-03-28 03:07:00,0.5479731665341203,305053.72711864405,-676.5067796610168,7
156,2017-03-28 02:09:00,2017-03-28 03:08:00,0.5363766391415181,305001.9013559322,-676.3813559322033,7
157,2017-03-28 02:10:00,2017-03-28 03:09:00,0.5327494877910139,304978.07305084757,-676.4033898305084,7
