,Start,Stop,Pearson,expected-arrival
0,2015-10-13 02:30:00,2015-10-13 03:30:00,19,9
1,2015-10-13 02:31:00,2015-10-13 03:31:00,19,9
2,2015-10-13 02:32:00,2015-10-13 03:32:00,19,9
3,2015-10-13 02:33:00,2015-10-13 03:33:00,20,9
4,2015-10-13 02:34:00,2015-10-13 03:34:00,20,9
5,2015-10-13 02:35:00,2015-10-13 03:35:00,19,9
6,2015-10-13 02:36:00,2015-10-13 03:36:00,20,9
7,2015-10-13 02:37:00,2015-10-13 03:37:00,20,9
8,2015-10-13 02:38:00,2015-10-13 03:38:00,20,9
9,2015-10-13 02:39:00,2015-10-13 03:39:00,20,9
10,2015-10-13 02:40:00,2015-10-13 03:40:00,20,9
11,2015-10-13 02:41:00,2015-10-13 03:41:00,20,9
12,2015-10-13 02:42:00,2015-10-13 03:42:00,20,9
13,2015-10-13 02:43:00,2015-10-13 03:43:00,20,9
14,2015-10-13 02:44:00,2015-10-13 03:44:00,20,9
15,2015-10-13 02:45:00,2015-10-13 03:45:00,20,9
16,2015-10-13 02:46:00,2015-10-13 03:46:00,20,9
17,2015-10-13 02:47:00,2015-10-13 03:47:00,20,9
18,2015-10-13 02:48:00,2015-10-13 03:48:00,20,9
19,2015-10-13 02:49:00,2015-10-13 03:49:00,20,9
20,2015-10-13 02:50:00,2015-10-13 03:50:00,20,9
21,2015-10-13 02:51:00,2015-10-13 03:51:00,20,9
22,2015-10-13 02:52:00,2015-10-13 03:52:00,20,9
23,2015-10-13 02:53:00,2015-10-13 03:53:00,20,9
24,2015-10-13 02:54:00,2015-10-13 03:54:00,20,9
25,2015-10-13 02:55:00,2015-10-13 03:55:00,20,9
26,2015-10-13 02:56:00,2015-10-13 03:56:00,20,9
27,2015-10-13 02:57:00,2015-10-13 03:57:00,20,9
28,2015-10-13 02:58:00,2015-10-13 03:58:00,21,9
29,2015-10-13 02:59:00,2015-10-13 03:59:00,21,9
30,2015-10-13 03:00:00,2015-10-13 04:00:00,21,9
31,2015-10-13 03:01:00,2015-10-13 04:01:00,21,9
32,2015-10-13 03:02:00,2015-10-13 04:02:00,21,9
33,2015-10-13 03:03:00,2015-10-13 04:03:00,20,9
34,2015-10-13 03:04:00,2015-10-13 04:04:00,20,9
35,2015-10-13 03:05:00,2015-10-13 04:05:00,20,9
36,2015-10-13 03:06:00,2015-10-13 04:06:00,21,9
37,2015-10-13 03:07:00,2015-10-13 04:07:00,21,9
38,2015-10-13 03:08:00,2015-10-13 04:08:00,20,9
39,2015-10-13 03:09:00,2015-10-13 04:09:00,20,9
40,2015-10-13 03:10:00,2015-10-13 04:10:00,20,9
41,2015-10-13 03:11:00,2015-10-13 04:11:00,26,9
42,2015-10-13 03:12:00,2015-10-13 04:12:00,26,9
43,2015-10-13 03:13:00,2015-10-13 04:13:00,26,9
44,2015-10-13 03:14:00,2015-10-13 04:14:00,20,9
45,2015-10-13 03:15:00,2015-10-13 04:15:00,20,9
46,2015-10-13 03:16:00,2015-10-13 04:16:00,20,9
47,2015-10-13 03:17:00,2015-10-13 04:17:00,20,9
48,2015-10-13 03:18:00,2015-10-13 04:18:00,20,9
49,2015-10-13 03:19:00,2015-10-13 04:19:00,30,9
50,2015-10-13 03:20:00,2015-10-13 04:20:00,20,9
51,2015-10-13 03:21:00,2015-10-13 04:21:00,26,9
52,2015-10-13 03:22:00,2015-10-13 04:22:00,27,9
53,2015-10-13 03:23:00,2015-10-13 04:23:00,27,9
54,2015-10-13 03:24:00,2015-10-13 04:24:00,27,9
55,2015-10-13 03:25:00,2015-10-13 04:25:00,20,9
56,2015-10-13 03:26:00,2015-10-13 04:26:00,20,9
57,2015-10-13 03:27:00,2015-10-13 04:27:00,27,9
58,2015-10-13 03:28:00,2015-10-13 04:28:00,27,9
59,2015-10-13 03:29:00,2015-10-13 04:29:00,30,9
60,2015-10-13 03:30:00,2015-10-13 04:30:00,30,9
61,2015-10-13 03:31:00,2015-10-13 04:31:00,30,9
62,2015-10-13 03:32:00,2015-10-13 04:32:00,30,9
63,2015-10-13 03:33:00,2015-10-13 04:33:00,27,9
64,2015-10-13 03:34:00,2015-10-13 04:34:00,27,9
65,2015-10-13 03:35:00,2015-10-13 04:35:00,27,9
66,2015-10-13 03:36:00,2015-10-13 04:36:00,27,9
67,2015-10-13 03:37:00,2015-10-13 04:37:00,2,9
68,2015-10-13 03:38:00,2015-10-13 04:38:00,2,9
69,2015-10-13 03:39:00,2015-10-13 04:39:00,0,9
70,2015-10-13 03:40:00,2015-10-13 04:40:00,0,9
71,2015-10-13 03:41:00,2015-10-13 04:41:00,0,9
72,2015-10-13 03:42:00,2015-10-13 04:42:00,0,9
73,2015-10-13 03:43:00,2015-10-13 04:43:00,0,9
74,2015-10-13 03:44:00,2015-10-13 04:44:00,1,9
75,2015-10-13 03:45:00,2015-10-13 04:45:00,1,9
76,2015-10-13 03:46:00,2015-10-13 04:46:00,1,9
77,2015-10-13 03:47:00,2015-10-13 04:47:00,1,9
78,2015-10-13 03:48:00,2015-10-13 04:48:00,0,9
79,2015-10-13 03:49:00,2015-10-13 04:49:00,1,9
80,2015-10-13 03:50:00,2015-10-13 04:50:00,1,9
81,2015-10-13 03:51:00,2015-10-13 04:51:00,1,9
82,2015-10-13 03:52:00,2015-10-13 04:52:00,1,9
83,2015-10-13 03:53:00,2015-10-13 04:53:00,1,9
84,2015-10-13 03:54:00,2015-10-13 04:54:00,2,9
85,2015-10-13 03:55:00,2015-10-13 04:55:00,4,9
