,Start,Stop,Pearson,expected-arrival
99,2015-12-10 01:16:00,2015-12-10 02:16:00,25,10
100,2015-12-10 01:17:00,2015-12-10 02:17:00,25,10
101,2015-12-10 01:18:00,2015-12-10 02:18:00,25,10
102,2015-12-10 01:19:00,2015-12-10 02:19:00,25,10
103,2015-12-10 01:20:00,2015-12-10 02:20:00,25,10
104,2015-12-10 01:21:00,2015-12-10 02:21:00,25,10
105,2015-12-10 01:22:00,2015-12-10 02:22:00,25,10
106,2015-12-10 01:23:00,2015-12-10 02:23:00,25,10
107,2015-12-10 01:24:00,2015-12-10 02:24:00,25,10
108,2015-12-10 01:25:00,2015-12-10 02:25:00,25,10
109,2015-12-10 01:26:00,2015-12-10 02:26:00,25,10
110,2015-12-10 01:27:00,2015-12-10 02:27:00,25,10
111,2015-12-10 01:28:00,2015-12-10 02:28:00,25,10
112,2015-12-10 01:29:00,2015-12-10 02:29:00,25,10
113,2015-12-10 01:30:00,2015-12-10 02:30:00,25,10
114,2015-12-10 01:31:00,2015-12-10 02:31:00,25,10
115,2015-12-10 01:32:00,2015-12-10 02:32:00,25,10
116,2015-12-10 01:33:00,2015-12-10 02:33:00,25,10
117,2015-12-10 01:34:00,2015-12-10 02:34:00,25,10
118,2015-12-10 01:35:00,2015-12-10 02:35:00,25,10
119,2015-12-10 01:36:00,2015-12-10 02:36:00,25,10
120,2015-12-10 01:37:00,2015-12-10 02:37:00,25,10
121,2015-12-10 01:38:00,2015-12-10 02:38:00,25,10
122,2015-12-10 01:39:00,2015-12-10 02:39:00,25,10
123,2015-12-10 01:40:00,2015-12-10 02:40:00,25,10
124,2015-12-10 01:41:00,2015-12-10 02:41:00,25,10
125,2015-12-10 01:42:00,2015-12-10 02:42:00,25,10
126,2015-12-10 01:43:00,2015-12-10 02:43:00,25,10
127,2015-12-10 01:44:00,2015-12-10 02:44:00,25,11
128,2015-12-10 01:45:00,2015-12-10 02:45:00,25,11
129,2015-12-10 01:46:00,2015-12-10 02:46:00,25,11
130,2015-12-10 01:47:00,2015-12-10 02:47:00,25,11
131,2015-12-10 01:48:00,2015-12-10 02:48:00,25,11
132,2015-12-10 01:49:00,2015-12-10 02:49:00,25,11
133,2015-12-10 01:50:00,2015-12-10 02:50:00,26,11
134,2015-12-10 01:51:00,2015-12-10 02:51:00,25,11
135,2015-12-10 01:52:00,2015-12-10 02:52:00,25,11
136,2015-12-10 01:53:00,2015-12-10 02:53:00,25,11
137,2015-12-10 01:54:00,2015-12-10 02:54:00,25,11
138,2015-12-10 01:55:00,2015-12-10 02:55:00,25,11
139,2015-12-10 01:56:00,2015-12-10 02:56:00,26,11
140,2015-12-10 01:57:00,2015-12-10 02:57:00,26,11
141,2015-12-10 01:58:00,2015-12-10 02:58:00,26,11
142,2015-12-10 01:59:00,2015-12-10 02:59:00,27,11
143,2015-12-10 02:00:00,2015-12-10 03:00:00,11,11
144,2015-12-10 02:01:00,2015-12-10 03:01:00,5,11
145,2015-12-10 02:02:00,2015-12-10 03:02:00,7,11
146,2015-12-10 02:03:00,2015-12-10 03:03:00,11,11
147,2015-12-10 02:04:00,2015-12-10 03:04:00,11,11
148,2015-12-10 02:05:00,2015-12-10 03:05:00,11,11
