,Start,Stop,Pearson,expected-arrival
0,2016-10-29 15:37:00,2016-10-29 16:37:00,0,8
1,2016-10-29 15:38:00,2016-10-29 16:38:00,0,8
2,2016-10-29 15:39:00,2016-10-29 16:39:00,0,8
3,2016-10-29 15:40:00,2016-10-29 16:40:00,0,8
4,2016-10-29 15:41:00,2016-10-29 16:41:00,0,8
5,2016-10-29 15:42:00,2016-10-29 16:42:00,0,8
6,2016-10-29 15:43:00,2016-10-29 16:43:00,0,8
7,2016-10-29 15:44:00,2016-10-29 16:44:00,0,8
8,2016-10-29 15:45:00,2016-10-29 16:45:00,0,8
9,2016-10-29 15:46:00,2016-10-29 16:46:00,0,8
10,2016-10-29 15:47:00,2016-10-29 16:47:00,0,8
11,2016-10-29 15:48:00,2016-10-29 16:48:00,0,8
12,2016-10-29 15:49:00,2016-10-29 16:49:00,0,8
13,2016-10-29 15:50:00,2016-10-29 16:50:00,0,8
14,2016-10-29 15:51:00,2016-10-29 16:51:00,0,8
15,2016-10-29 15:52:00,2016-10-29 16:52:00,0,8
16,2016-10-29 15:53:00,2016-10-29 16:53:00,0,8
17,2016-10-29 15:54:00,2016-10-29 16:54:00,0,8
18,2016-10-29 15:55:00,2016-10-29 16:55:00,1,9
19,2016-10-29 15:56:00,2016-10-29 16:56:00,0,9
20,2016-10-29 15:57:00,2016-10-29 16:57:00,0,9
21,2016-10-29 15:58:00,2016-10-29 16:58:00,0,9
22,2016-10-29 15:59:00,2016-10-29 16:59:00,0,9
23,2016-10-29 16:00:00,2016-10-29 17:00:00,0,9
24,2016-10-29 16:01:00,2016-10-29 17:01:00,0,9
25,2016-10-29 16:02:00,2016-10-29 17:02:00,0,9
26,2016-10-29 16:03:00,2016-10-29 17:03:00,0,9
27,2016-10-29 16:04:00,2016-10-29 17:04:00,0,9
28,2016-10-29 16:05:00,2016-10-29 17:05:00,1,9
29,2016-10-29 16:06:00,2016-10-29 17:06:00,1,9
30,2016-10-29 16:07:00,2016-10-29 17:07:00,1,9
31,2016-10-29 16:08:00,2016-10-29 17:08:00,1,9
32,2016-10-29 16:09:00,2016-10-29 17:09:00,1,9
33,2016-10-29 16:10:00,2016-10-29 17:10:00,1,9
34,2016-10-29 16:11:00,2016-10-29 17:11:00,1,9
35,2016-10-29 16:12:00,2016-10-29 17:12:00,2,9
36,2016-10-29 16:13:00,2016-10-29 17:13:00,7,9
37,2016-10-29 16:14:00,2016-10-29 17:14:00,8,9
38,2016-10-29 16:15:00,2016-10-29 17:15:00,8,9
39,2016-10-29 16:16:00,2016-10-29 17:16:00,8,9
40,2016-10-29 16:17:00,2016-10-29 17:17:00,9,9
41,2016-10-29 16:18:00,2016-10-29 17:18:00,29,9
42,2016-10-29 16:19:00,2016-10-29 17:19:00,29,9
43,2016-10-29 16:20:00,2016-10-29 17:20:00,29,9
44,2016-10-29 16:21:00,2016-10-29 17:21:00,29,9
45,2016-10-29 16:22:00,2016-10-29 17:22:00,9,9
46,2016-10-29 16:23:00,2016-10-29 17:23:00,9,9
47,2016-10-29 16:24:00,2016-10-29 17:24:00,9,9
48,2016-10-29 16:25:00,2016-10-29 17:25:00,9,9
