,Start,Stop,Pearson,expected-arrival
99,2018-10-09 09:17:00,2018-10-09 10:17:00,0,8
100,2018-10-09 09:18:00,2018-10-09 10:18:00,1,8
101,2018-10-09 09:19:00,2018-10-09 10:19:00,1,8
102,2018-10-09 09:20:00,2018-10-09 10:20:00,1,8
103,2018-10-09 09:21:00,2018-10-09 10:21:00,0,8
104,2018-10-09 09:22:00,2018-10-09 10:22:00,1,8
105,2018-10-09 09:23:00,2018-10-09 10:23:00,1,8
106,2018-10-09 09:24:00,2018-10-09 10:24:00,1,8
107,2018-10-09 09:25:00,2018-10-09 10:25:00,1,8
108,2018-10-09 09:26:00,2018-10-09 10:26:00,1,8
109,2018-10-09 09:27:00,2018-10-09 10:27:00,1,8
110,2018-10-09 09:28:00,2018-10-09 10:28:00,1,8
111,2018-10-09 09:29:00,2018-10-09 10:29:00,2,8
112,2018-10-09 09:30:00,2018-10-09 10:30:00,4,8
113,2018-10-09 09:31:00,2018-10-09 10:31:00,4,8
114,2018-10-09 09:32:00,2018-10-09 10:32:00,5,8
115,2018-10-09 09:33:00,2018-10-09 10:33:00,5,8
116,2018-10-09 09:34:00,2018-10-09 10:34:00,6,8
117,2018-10-09 09:35:00,2018-10-09 10:35:00,5,8
118,2018-10-09 09:36:00,2018-10-09 10:36:00,5,8
119,2018-10-09 09:37:00,2018-10-09 10:37:00,5,8
120,2018-10-09 09:38:00,2018-10-09 10:38:00,5,8
121,2018-10-09 09:39:00,2018-10-09 10:39:00,5,8
122,2018-10-09 09:40:00,2018-10-09 10:40:00,6,8
123,2018-10-09 09:41:00,2018-10-09 10:41:00,6,8
124,2018-10-09 09:42:00,2018-10-09 10:42:00,6,8
125,2018-10-09 09:43:00,2018-10-09 10:43:00,6,8
126,2018-10-09 09:44:00,2018-10-09 10:44:00,6,8
127,2018-10-09 09:45:00,2018-10-09 10:45:00,6,8
128,2018-10-09 09:46:00,2018-10-09 10:46:00,7,8
129,2018-10-09 09:47:00,2018-10-09 10:47:00,7,8
130,2018-10-09 09:48:00,2018-10-09 10:48:00,7,8
131,2018-10-09 09:49:00,2018-10-09 10:49:00,7,8
132,2018-10-09 09:50:00,2018-10-09 10:50:00,7,8
133,2018-10-09 09:51:00,2018-10-09 10:51:00,7,8
134,2018-10-09 09:52:00,2018-10-09 10:52:00,7,8
135,2018-10-09 09:53:00,2018-10-09 10:53:00,7,8
136,2018-10-09 09:54:00,2018-10-09 10:54:00,6,8
137,2018-10-09 09:55:00,2018-10-09 10:55:00,7,8
138,2018-10-09 09:56:00,2018-10-09 10:56:00,7,8
139,2018-10-09 09:57:00,2018-10-09 10:57:00,7,8
140,2018-10-09 09:58:00,2018-10-09 10:58:00,8,8
141,2018-10-09 09:59:00,2018-10-09 10:59:00,8,8
142,2018-10-09 10:00:00,2018-10-09 11:00:00,8,8
143,2018-10-09 10:01:00,2018-10-09 11:01:00,9,8
144,2018-10-09 10:02:00,2018-10-09 11:02:00,9,8
145,2018-10-09 10:03:00,2018-10-09 11:03:00,9,8
146,2018-10-09 10:04:00,2018-10-09 11:04:00,10,8
147,2018-10-09 10:05:00,2018-10-09 11:05:00,11,8
148,2018-10-09 10:06:00,2018-10-09 11:06:00,12,8
149,2018-10-09 10:07:00,2018-10-09 11:07:00,7,8
150,2018-10-09 10:08:00,2018-10-09 11:08:00,7,8
151,2018-10-09 10:09:00,2018-10-09 11:09:00,7,8
